Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,1262.729980,1271.959961,1260.099976,1264.459961,1264.459961,1365700
2018-08-10,1259.180054,1261.199951,1247.160034,1252.510010,1252.510010,1330100
2018-08-13,1251.199951,1265.969971,1247.030029,1248.640015,1248.640015,1375000
2018-08-14,1252.500000,1260.589966,1239.540039,1258.140015,1258.140015,1404000
2018-08-15,1244.280029,1251.979980,1226.239990,1232.219971,1232.219971,1852600
2018-08-16,1241.989990,1243.699951,1219.630005,1224.060059,1224.060059,1608800
2018-08-17,1222.040039,1226.949951,1204.000000,1215.849976,1215.849976,1654600
2018-08-20,1220.660034,1225.910034,1208.699951,1221.949951,1221.949951,1110900
2018-08-21,1223.020020,1232.760010,1215.030029,1217.410034,1217.410034,1154100
2018-08-22,1214.219971,1226.530029,1213.219971,1221.750000,1221.750000,1114800
2018-08-23,1219.880005,1235.170044,1219.349976,1221.160034,1221.160034,1233300
2018-08-24,1226.000000,1237.400024,1221.420044,1236.750000,1236.750000,1222700
2018-08-27,1244.140015,1257.869995,1240.680054,1256.270020,1256.270020,1429000
2018-08-28,1255.900024,1256.560059,1242.969971,1245.859985,1245.859985,1366500
2018-08-29,1255.000000,1267.170044,1252.800049,1264.650024,1264.650024,1846300
2018-08-30,1263.400024,1269.489990,1247.209961,1254.439941,1254.439941,1505200
2018-08-31,1252.209961,1252.550049,1225.750000,1231.800049,1231.800049,2115400
2018-09-04,1222.520020,1227.869995,1206.560059,1211.310059,1211.310059,2072900
2018-09-05,1209.219971,1214.869995,1175.339966,1199.099976,1199.099976,2699400
2018-09-06,1198.569946,1198.989990,1163.609985,1183.989990,1183.989990,2342700
2018-09-07,1172.000000,1188.550049,1169.270020,1177.589966,1177.589966,1632900
